feature,importance
overtime_encoded,0.16646602209220973
work_life_balance,0.1507981185096196
job_satisfaction,0.10618460587628747
environment_satisfaction,0.08396391151358565
years_at_company,0.06751008559364338
relationship_satisfaction,0.06673376317030477
marital_status_encoded,0.0645709391879842
monthly_income,0.06102562143738616
years_in_role,0.05939799314461304
distance_from_home,0.054349620044718376
age,0.04865877070431149
num_companies_worked,0.031775996598995083
training_times_last_year,0.013538522012578628
total_experience,0.012074649065735412
business_travel_encoded,0.004164293740517923
education_level_encoded,0.003187500000000006
gender_encoded,0.0023905795664816605
job_role_encoded,0.0016326530612244944
department_encoded,0.0015763546798029562
performance_rating,3.9983556481255635e-18
